z ,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Mês,Dia,Alerta,Local-Origem,Local-Destino,Cias-Aéreas,Clube-Milhas,Milheiro,Milhas-Ida,Mês-Ida,Ano-Ida,Milhas-Volta,Mês-Volta,Ano-Volta,Valor-Real,Região-Origem,UF-Origem,País-Destino,Região-Destino,UF-Destino,Ida-Real,Volta-Real,Total-Real,Economia %,Total-Milhas
2024,11,1,Ouro,Curitiba,Montevidéu,Azul,Azul,R$ 0.019,"10,000",09-10,2025,"10,000",09-10,2025,"R$ 1,906.00",Sul,PR,Uruguai,Exterior,Capital,R$ 190.00,R$ 190.00,R$ 380.00,80.06%,"20,000"
2024,11,1,Prata,Curitiba,Miami,Latam,Latam,R$ 0.024,"43,936",02-03-04,2025,"43,936",02-03-04,2025,"R$ 3,330.00",Sul,PR,EUA,Exterior,Flórida,"R$ 1,054.46","R$ 1,054.46","R$ 2,108.93",36.67%,"87,872"
2024,11,1,Prata,Londrina,Milão,Latam,Latam,R$ 0.024,"67,609",02-03,2025,"67,409",02-03,2025,"R$ 5,191.00",Sul,PR,Itália,Exterior,Norte,"R$ 1,622.62","R$ 1,617.82","R$ 3,240.43",37.58%,"135,018"
2024,11,1,Prata,Florianópolis ,Roma,Latam,Latam,R$ 0.024,"69,816",02,2025,"69,816",05-06,2025,"R$ 5,668.00",Sul,SC,Itália,Exterior,Capital,"R$ 1,675.58","R$ 1,675.58","R$ 3,351.17",40.88%,"139,632"
2024,11,1,Ouro,Foz do Iguaçu,Belo Horizonte,Gol,Smiles,R$ 0.016,"23,000",08,2025,"23,000",08,2025,"R$ 1,987.00",Sul,PR,Brasil,Sudeste,MG,R$ 368.00,R$ 368.00,R$ 736.00,62.96%,"46,000"
2024,11,1,Ouro,Santo Ângelo,São Paulo,Gol,Smiles,R$ 0.016,"15,000",05,2025,"13,800",05,2025,"R$ 2,285.00",Sul,RS,Brasil,Sudeste,SP,R$ 240.00,R$ 220.80,R$ 460.80,79.83%,"28,800"
2024,11,1,Ouro,Porto Alegre,Foz do Iguaçu,Latam,Latam,R$ 0.024,"9,656",03,2025,"9,656",02,2025,"R$ 1,295.00",Sul,RS,Brasil,Sul,PR,R$ 231.74,R$ 231.74,R$ 463.49,64.21%,"19,312"
2024,11,1,Ouro,Florianópolis ,São Luís,Latam,Latam,R$ 0.024,"10,938",02-03-04-05,2025,"10,938",02-03-04-05,2025,"R$ 1,262.00",Sul,SC,Brasil,Nordeste,MA,R$ 262.51,R$ 262.51,R$ 525.02,58.40%,"21,876"
2024,11,1,Ouro,Navegantes,Rio de Janeiro,Gol,Smiles,R$ 0.016,"13,800",02,2025,"13,800",02,2025,R$ 978.00,Sul,SC,Brasil,Sudeste,RJ,R$ 220.80,R$ 220.80,R$ 441.60,54.85%,"27,600"
2024,11,1,Prata,São Paulo,Miami,Latam,Latam,R$ 0.024,"39,543",11,2024,"40,242",12,2024,"R$ 3,031.00",Sudeste,SP,EUA,Exterior,Flórida,R$ 949.03,R$ 965.81,"R$ 1,914.84",36.82%,"79,785"
